 TDDFPT|      1       2.29717  -1.3420E-01  2.6153E-01 -2.7869E-01   9.23395E-03
 TDDFPT|      2       2.44103  -8.1653E-02  3.2038E-02 -2.1256E-01   3.16207E-03
 TDDFPT|      3       2.48313  -4.4171E-02  2.2476E-01  3.6209E-01   1.11679E-02
 TDDFPT|      4       2.52295  -2.5513E-01  1.5510E-03 -1.1285E-02   4.03152E-03
 TDDFPT|      5       2.53894  -1.2497E-01 -2.3328E-01 -8.0745E-03   4.36044E-03
 TDDFPT|      6       2.61532  -5.8197E-01  4.4305E-01  2.1757E-01   3.73120E-02
 TDDFPT|      7       2.63000   9.8961E-02 -5.5111E-01  3.2083E-01   2.68335E-02
 TDDFPT|      8       2.66434   5.1621E-01 -1.9501E-02 -3.7056E-02   1.75087E-02
 TDDFPT|      9       2.68126   5.8964E-01  5.1942E-01  2.1983E-01   4.37360E-02
 TDDFPT|     10       2.69993   2.0407E-01  2.4679E-01  2.2299E-01   1.00724E-02
 TDDFPT|     11       2.71689   1.4975E-02  5.1193E-01 -7.7866E-02   1.78625E-02
 TDDFPT|     12       2.72760   8.2414E-02 -7.4636E-02 -3.0623E-01   7.09288E-03
 TDDFPT|     13       2.74672   1.2697E-01  6.7205E-03  3.3705E-01   8.73279E-03
 TDDFPT|     14       2.76343   4.6429E-03 -1.7181E-01  8.1717E-02   2.45197E-03
 TDDFPT|     15       2.78270  -8.4314E-02 -2.2887E-01  8.2055E-01   4.99584E-02
 TDDFPT|     16       2.79822  -1.5699E-02 -1.1091E-01 -1.2668E-01   1.96024E-03
 TDDFPT|     17       2.82138  -1.1992E-02 -1.3878E-01  2.5321E-01   5.77320E-03
 TDDFPT|     18       2.84044   1.2207E-02  4.0217E-02  1.1125E-01   9.84139E-04
 TDDFPT|     19       2.84341  -1.4346E-01  1.0132E-01  1.1282E-01   3.03542E-03
 TDDFPT|     20       2.87171   2.4120E-02  4.1924E-02 -9.2581E-02   7.67619E-04
 TDDFPT|     21       2.87999  -3.9657E-02  7.8366E-02 -2.3826E-01   4.54981E-03
 TDDFPT|     22       2.89607  -3.6067E-02 -1.5460E-01  6.2414E-02   2.06453E-03
 TDDFPT|     23       2.90394   2.5566E-02 -2.4620E-02  8.1045E-02   5.56931E-04
 TDDFPT|     24       2.91752   2.4186E-01  1.0226E-02  1.1588E-01   5.14850E-03
 TDDFPT|     25       2.93251   2.1633E-01 -3.6164E-02  9.2879E-02   4.07613E-03
 TDDFPT|     26       2.95245   3.9134E-01 -7.9382E-03 -2.0001E-02   1.11113E-02
 TDDFPT|     27       2.96839   3.5520E-01 -1.1749E-01 -1.9189E-01   1.28571E-02
 TDDFPT|     28       3.00804  -8.5875E-02 -2.2048E-01 -1.5904E-01   5.99013E-03
 TDDFPT|     29       3.02960   2.7228E-01 -1.2217E-01 -9.1509E-02   7.23190E-03
 TDDFPT|     30       3.03610   1.7987E-01  1.2060E-01 -7.3980E-02   3.89531E-03
